campaign,date,interest
Dry January,2016-01-01,2.0
Dry January,2016-02-01,1.6
Dry January,2016-03-01,1.6
Dry January,2016-04-01,2.2
Dry January,2016-05-01,2.0
Dry January,2016-06-01,1.6
Dry January,2016-07-01,2.0
Dry January,2016-08-01,2.0
Dry January,2016-09-01,1.6
Dry January,2016-10-01,1.8
Dry January,2016-11-01,2.0
Dry January,2016-12-01,1.6
Dry January,2017-01-01,2.6
Dry January,2017-02-01,2.0
Dry January,2017-03-01,2.0
Dry January,2017-04-01,1.4
Dry January,2017-05-01,2.0
Dry January,2017-06-01,1.8
Dry January,2017-07-01,1.8
Dry January,2017-08-01,1.8
Dry January,2017-09-01,2.0
Dry January,2017-10-01,1.8
Dry January,2017-11-01,2.2
Dry January,2017-12-01,2.0
Dry January,2018-01-01,3.6
Dry January,2018-02-01,2.0
Dry January,2018-03-01,2.0
Dry January,2018-04-01,2.4
Dry January,2018-05-01,2.8
Dry January,2018-06-01,2.4
Dry January,2018-07-01,2.2
Dry January,2018-08-01,2.2
Dry January,2018-09-01,2.4
Dry January,2018-10-01,2.4
Dry January,2018-11-01,2.2
Dry January,2018-12-01,2.4
Dry January,2019-01-01,12.8
Dry January,2019-02-01,3.0
Dry January,2019-03-01,2.6
Dry January,2019-04-01,2.2
Dry January,2019-05-01,2.6
Dry January,2019-06-01,2.0
Dry January,2019-07-01,2.0
Dry January,2019-08-01,2.2
Dry January,2019-09-01,2.0
Dry January,2019-10-01,2.0
Dry January,2019-11-01,3.4
Dry January,2019-12-01,5.2
Dry January,2020-01-01,20.0
Dry January,2020-02-01,3.6
Dry January,2020-03-01,2.4
Dry January,2020-04-01,2.8
Dry January,2020-05-01,2.2
Dry January,2020-06-01,2.4
Dry January,2020-07-01,2.2
Dry January,2020-08-01,2.2
Dry January,2020-09-01,2.0
Dry January,2020-10-01,2.2
Dry January,2020-11-01,2.2
Dry January,2020-12-01,2.6
Dry January,2021-01-01,13.8
Dry January,2021-02-01,3.0
Dry January,2021-03-01,2.4
Dry January,2021-04-01,2.2
Dry January,2021-05-01,2.2
Dry January,2021-06-01,2.0
Dry January,2021-07-01,1.8
Dry January,2021-08-01,2.6
Dry January,2021-09-01,2.4
Dry January,2021-10-01,2.6
Dry January,2021-11-01,2.6
Dry January,2021-12-01,3.0
Dry January,2022-01-01,15.8
Dry January,2022-02-01,3.6
Dry January,2022-03-01,2.4
Dry January,2022-04-01,2.4
Dry January,2022-05-01,2.6
Dry January,2022-06-01,2.0
Dry January,2022-07-01,2.4
Dry January,2022-08-01,2.6
Dry January,2022-09-01,2.2
Dry January,2022-10-01,2.8
Dry January,2022-11-01,2.8
Dry January,2022-12-01,4.2
Dry January,2023-01-01,22.2
Dry January,2023-02-01,4.2
Dry January,2023-03-01,3.0
Dry January,2023-04-01,2.4
Dry January,2023-05-01,3.0
Dry January,2023-06-01,2.2
Dry January,2023-07-01,2.2
Dry January,2023-08-01,2.4
Dry January,2023-09-01,2.4
Dry January,2023-10-01,2.8
Dry January,2023-11-01,3.0
Dry January,2023-12-01,7.6
Dry January,2024-01-01,26.4
Dry January,2024-02-01,3.8
Dry January,2024-03-01,2.8
Dry January,2024-04-01,2.0
Dry January,2024-05-01,2.4
Dry January,2024-06-01,2.0
Dry January,2024-07-01,2.4
Dry January,2024-08-01,2.8
Dry January,2024-09-01,2.6
Dry January,2024-10-01,3.0
Dry January,2024-11-01,2.8
Dry January,2024-12-01,5.4
Dry January,2025-01-01,20.4
Dry January,2025-02-01,3.8
Dry January,2025-03-01,3.0
Dry January,2025-04-01,2.4
Dry January,2025-05-01,2.4
Dry January,2025-06-01,2.2
Dry January,2025-07-01,2.2
Dry January,2025-08-01,2.2
Dry January,2025-09-01,2.6
Dry January,2025-10-01,2.2
Dry January,2025-11-01,3.4
Dry January,2025-12-01,5.6
Dry January,2026-01-01,20.6
