direction;max_lag;wald_stat;p_value;null_hypothesis
google_trends -> ratio;3;4.57291499060066;0.205877920467527;google_trends_lag1 = 0 , google_trends_lag2 = 0 , google_trends_lag3 = 0
ratio -> google_trends;3;7.120213755700859;0.06816327061039149;ratio_lag1 = 0 , ratio_lag2 = 0 , ratio_lag3 = 0
