date,dry january,mars bleu,movember,octobre rose
2016-07-01,1.0,32.0,17.1,10.0
2016-08-01,2.0,31.0,18.5,10.0
2016-09-01,1.0,41.0,22.3,21.0
2016-10-01,1.0,37.0,29.7,25.0
2016-11-01,1.0,39.0,56.4,10.0
2016-12-01,1.0,35.0,22.3,9.0
2017-01-01,3.0,40.0,23.0,11.0
2017-02-01,1.0,41.0,23.7,12.0
2017-03-01,1.0,55.0,24.5,12.0
2017-04-01,1.0,42.0,20.0,12.0
2017-05-01,1.0,36.0,18.5,11.0
2017-06-01,1.0,36.0,20.8,9.0
2017-07-01,2.0,33.0,22.3,10.0
2017-08-01,2.0,31.0,19.3,9.0
2017-09-01,1.0,42.0,23.0,17.0
2017-10-01,1.0,39.0,31.2,28.0
2017-11-01,1.0,41.0,49.7,11.0
2017-12-01,2.0,34.0,27.5,10.0
2018-01-01,7.0,40.0,26.0,14.0
2018-02-01,1.0,45.0,26.0,11.0
2018-03-01,2.0,54.0,23.7,12.0
2018-04-01,1.0,40.0,23.0,11.0
2018-05-01,1.0,38.0,21.5,11.0
2018-06-01,2.0,40.0,22.3,13.0
2018-07-01,1.0,35.0,18.5,11.0
2018-08-01,1.0,34.0,19.3,11.0
2018-09-01,1.0,40.0,30.4,20.0
2018-10-01,1.0,42.0,32.6,34.0
2018-11-01,1.0,42.0,45.3,12.0
2018-12-01,2.0,35.0,21.5,10.0
2019-01-01,38.0,42.0,24.5,12.0
2019-02-01,4.0,46.0,25.2,14.0
2019-03-01,3.0,55.0,24.5,14.0
2019-04-01,1.0,42.0,23.7,12.0
2019-05-01,2.0,43.0,21.5,11.0
2019-06-01,2.0,36.0,20.8,11.0
2019-07-01,2.0,35.0,20.0,10.0
2019-08-01,2.0,32.0,19.3,10.0
2019-09-01,2.0,40.0,28.2,21.0
2019-10-01,2.0,40.0,41.5,38.0
2019-11-01,4.0,42.0,50.5,13.0
2019-12-01,11.0,33.0,24.5,10.0
2020-01-01,60.0,46.0,32.6,14.0
2020-02-01,6.0,50.0,31.2,17.0
2020-03-01,3.0,32.0,17.8,9.0
2020-04-01,3.0,22.0,16.3,7.0
2020-05-01,2.0,31.0,19.3,9.0
2020-06-01,2.0,38.0,21.5,12.0
2020-07-01,2.0,35.0,20.0,12.0
2020-08-01,2.0,57.0,20.0,12.0
2020-09-01,2.0,54.0,24.5,19.0
2020-10-01,2.0,43.0,28.9,41.0
2020-11-01,3.0,43.0,45.3,15.0
2020-12-01,4.0,41.0,24.5,11.0
2021-01-01,43.0,51.0,25.2,12.0
2021-02-01,4.0,61.0,26.0,15.0
2021-03-01,2.0,66.0,25.2,15.0
2021-04-01,2.0,47.0,23.7,14.0
2021-05-01,2.0,45.0,26.0,14.0
2021-06-01,2.0,42.0,23.0,14.0
2021-07-01,2.0,41.0,22.3,11.0
2021-08-01,3.0,35.0,20.8,12.0
2021-09-01,2.0,43.0,28.2,26.0
2021-10-01,2.0,43.0,37.1,58.0
2021-11-01,2.0,50.0,54.9,16.0
2021-12-01,6.0,40.0,29.7,13.0
2022-01-01,53.0,51.0,27.5,16.0
2022-02-01,6.0,55.0,26.7,15.0
2022-03-01,3.0,64.0,27.5,15.0
2022-04-01,3.0,51.0,32.6,13.0
2022-05-01,3.0,54.0,26.7,15.0
2022-06-01,2.0,55.0,26.7,14.0
2022-07-01,2.0,45.0,23.7,13.0
2022-08-01,3.0,59.0,25.2,15.0
2022-09-01,2.0,60.0,29.7,33.0
2022-10-01,3.0,61.0,40.8,67.0
2022-11-01,4.0,62.0,64.5,17.0
2022-12-01,9.0,62.0,28.9,12.0
2023-01-01,75.0,68.0,30.4,17.0
2023-02-01,8.0,67.0,29.7,16.0
2023-03-01,3.0,93.0,29.7,17.0
2023-04-01,3.0,64.0,28.9,17.0
2023-05-01,3.0,61.0,28.2,16.0
2023-06-01,3.0,62.0,27.5,16.0
2023-07-01,3.0,50.0,24.5,17.0
2023-08-01,3.0,41.0,23.0,18.0
2023-09-01,3.0,55.0,31.9,41.0
2023-10-01,3.0,57.0,41.5,78.0
2023-11-01,3.0,55.0,65.3,20.0
2023-12-01,22.0,48.0,28.2,16.0
2024-01-01,100.0,62.0,31.2,19.0
2024-02-01,8.0,65.0,35.6,21.0
2024-03-01,3.0,83.0,29.7,23.0
2024-04-01,3.0,61.0,29.7,20.0
2024-05-01,2.0,53.0,26.7,19.0
2024-06-01,2.0,54.0,26.0,19.0
2024-07-01,2.0,46.0,23.7,18.0
2024-08-01,4.0,44.0,23.7,20.0
2024-09-01,3.0,53.0,29.7,47.0
2024-10-01,2.0,58.0,48.2,90.0
2024-11-01,3.0,57.0,63.8,21.0
2024-12-01,14.0,49.0,31.2,17.0
2025-01-01,74.0,66.0,31.9,21.0
2025-02-01,7.0,69.0,31.9,23.0
2025-03-01,4.0,100.0,31.2,22.0
2025-04-01,4.0,66.0,30.4,21.0
2025-05-01,3.0,63.0,36.4,19.0
2025-06-01,3.0,64.0,28.9,20.0
2025-07-01,2.0,50.0,28.2,20.0
2025-08-01,3.0,47.0,26.7,19.0
2025-09-01,3.0,57.0,32.6,53.0
2025-10-01,4.0,62.0,46.7,100.0
2025-11-01,9.0,61.0,74.2,22.0
2025-12-01,17.0,52.0,34.9,18.0
2026-01-01,80.0,62.0,34.9,20.0
