campaign,year,date,title,url,media_name,media_url,title_clean,lang,lang_score,short_title,fr_hints,en_hints,lang_class
Mars Bleu,2025,03-03-25,le nouveau slogan de la Ligue contre le cancer pour sensibiliser au cancer colorectal,https://www.sudouest.fr/sante/va-chier-le-nouveau-slogan-de-la-ligue-contre-le-cancer-pour-sensibiliser-au-cancer-colorectal-23486672.php,sudouest.fr,sudouest.fr,le nouveau slogan de la Ligue contre le cancer pour sensibiliser au cancer colorectal,fr,-219.27823543548584,False,7,0,fr
Mars Bleu,2025,06-03-25,"seulement 32,3 % de la population des Pyrénées-Atlantiques se dépistent",https://www.larepubliquedespyrenees.fr/sante/cancer-colorectal-seulement-32-3-de-la-population-des-pyrenees-atlantiques-se-depistent-23502152.php,larepubliquedespyrenees.fr,larepubliquedespyrenees.fr,"seulement 32,3 % de la population des Pyrénées-Atlantiques se dépistent",fr,-197.27956199645996,False,3,0,fr
Mars Bleu,2025,08-03-25,Question du jour.. Mars bleu,https://www.bienpublic.com/sante/2025/03/08/mars-bleu-le-depistage-du-cancer-colorectal-est-conseille-tous-les-deux-ans-a-partir-de-50-ans-suivez-vous-cette-recommandation,bienpublic.com,bienpublic.com,Question du jour.. Mars bleu,fr,-71.63113403320312,False,1,0,fr
Mars Bleu,2025,09-03-25,Buxerolles promeut Mars bleu et la prévention du cancer colorectal,https://www.lanouvellerepublique.fr/vienne/commune/buxerolles/buxerolles-promeut-mars-bleu-et-la-prevention-du-cancer-colorectal-1741532779,lanouvellerepublique.fr,lanouvellerepublique.fr,Buxerolles promeut Mars bleu et la prévention du cancer colorectal,fr,-152.5524673461914,False,3,0,fr
Mars Bleu,2025,03-04-25,"dépister pour mieux soigner, mot d’ordre de la journée de sensibilisation à Aubagne",https://www.laprovence.com/article/region/1880503876065215/cancer-colorectal-depister-pour-mieux-soigner-mot-d-ordre-de-la-journee-de-sensibilisation-a-aubagne,laprovence.com,laprovence.com,"dépister pour mieux soigner, mot d'ordre de la journée de sensibilisation à Aubagne",fr,-320.8658275604248,False,4,0,fr
Movember,2016,30-10-16,"Movember - Helping men live happier, healthier, longer lives",http://subsmissives.com/offtopic/mo-2016/movember-helping-men-live/,subsmissives.com,subsmissives.com,"Movember - Helping men live happier, healthier, longer lives",fr,-56.02920722961426,False,0,0,fr
Movember,2016,03-11-16,"dates 2019, comment participer au mois de la Moustache",https://sante.journaldesfemmes.fr/quotidien/1706170-movember-2019-france-moustache/,journaldesfemmes.fr,journaldesfemmes.fr,"dates 2019, comment participer au mois de la Moustache",fr,-109.12078094482422,False,4,0,fr
Movember,2020,09-11-20,Sault Fire Services supports Movember campaign,https://www.saultthisweek.com/news/local-news/sault-fire-services-supports-movember-campaign,saultthisweek.com,saultthisweek.com,Sault Fire Services supports Movember campaign,fr,-11.045395374298096,False,0,0,fr
Movember,2021,01-11-21,"prostate, testicule, c'est quoi le mois de la moustache",https://sante.journaldesfemmes.fr/fiches-sante-du-quotidien/1706170-movember-2021-france-mois-moustache-cancer-prostate-date-signification-challenge/,journaldesfemmes.fr,journaldesfemmes.fr,"prostate, testicule, c'est quoi le mois de la moustache",fr,-109.91224193572998,False,4,0,fr
Movember,2021,02-12-21,"Lakers raise $2,855 For Movember",https://www.baytoday.ca/local-news/lakers-raise-2855-for-movember-4823989,baytoday.ca,baytoday.ca,"Lakers raise $2,855 For Movember",fr,-13.418480396270752,False,0,1,fr
Movember,2025,02-01-25,Movember à Mallemort,https://www.laprovence.com/article/region/1403660954783315/movember-a-mallemort-plus-de-7-000-e-ont-ete-recoltes-contre-les-cancers-masculins,laprovence.com,laprovence.com,Movember à Mallemort,fr,-26.082261085510254,False,0,0,fr
Movember,2025,14-11-25,C-Care intensifie la lutte avec Pink October et Movember,https://www.maurice-info.mu/2025/11/14/c-care-intensifie-la-lutte-avec-pink-october-et-movember.html?utm_source=rss&utm_medium=rss&utm_campaign=c-care-intensifie-la-lutte-avec-pink-october-et-movember,maurice-info.mu,maurice-info.mu,C-Care intensifie la lutte avec Pink October et Movember,fr,-101.02677488327026,False,3,0,fr
Octobre Rose,2015,29-09-15,Dépistage cancer du sein,http://www.lalsace.fr/actualite/2015/09/29/depistage-cancer-du-sein-remboursement-a-100-pour-les-femmes-a-risque-eleve,lalsace.fr,lalsace.fr,Dépistage cancer du sein,fr,-80.61360025405884,False,1,0,fr
Octobre Rose,2015,29-09-15,Dépistage cancer du sein,http://www.ledauphine.com/france-monde/2015/09/29/depistage-cancer-du-sein-remboursement-a-100-pour-les-femmes-a-risque-eleve,ledauphine.com,ledauphine.com,Dépistage cancer du sein,fr,-80.61360025405884,False,1,0,fr
Octobre Rose,2015,29-09-15,Dépistage cancer du sein,http://www.dna.fr/actualite/2015/09/29/depistage-cancer-du-sein-remboursement-a-100-pour-les-femmes-a-risque-eleve,dna.fr,dna.fr,Dépistage cancer du sein,fr,-80.61360025405884,False,1,0,fr
